600 3
 0.741  1.577  3.227
 1.460  2.050  3.146
 0.149  2.358  2.938
 0.468  2.530  3.098
 0.812  1.879  2.893
 0.239  2.255  2.945
 0.209  1.869  3.101
 0.957  2.500  3.157
 0.974  1.684  3.212
 0.700  3.355  2.980
 1.176  1.724  2.972
 0.816  2.151  2.949
 1.131  2.137  3.173
 1.277  2.144  3.244
 0.262  1.967  2.881
 0.692  1.438  3.041
 0.837  2.132  3.070
 0.933  2.248  2.892
 2.285  2.341  3.304
 1.270  2.487  3.238
 0.887  1.809  2.700
 1.304  2.631  3.024
 1.647  1.955  3.125
 1.071  1.383  2.873
 1.091  1.817  2.981
 1.676  1.460  2.903
 1.250  1.786  3.260
 1.297  1.602  3.230
 0.484  2.131  3.225
 1.100  2.156  2.882
 2.034  1.408  2.919
 1.120  2.266  2.991
 0.254  1.488  3.446
-0.042  1.567  3.304
 0.298  2.068  3.137
 1.004  2.365  2.377
 1.525  2.057  2.883
 0.399  1.355  3.389
 0.448  2.651  2.833
 0.684  2.039  2.423
 1.458  2.421  3.172
 1.404  2.723  3.225
 1.115  2.253  3.396
 0.684  1.738  3.443
 1.261  1.813  3.253
 1.744  2.019  2.992
 0.947  2.261  2.832
 0.570  1.833  3.140
 0.147  1.551  2.931
-0.141  1.702  2.706
 1.321  2.418  3.313
 0.589  2.118  3.064
 1.311  1.377  3.229
 0.409  1.460  2.943
 1.579  2.099  3.099
 1.032  2.459  3.149
 1.049  2.482  2.949
 1.601  1.541  2.906
 1.618  2.147  3.335
 1.350  1.654  3.068
 0.822  2.713  3.136
 1.498  1.846  3.280
-0.470  1.909  2.784
 1.719  2.901  2.786
 1.306  1.650  3.083
 0.904  3.095  3.318
 1.007  1.207  2.768
 1.237  2.485  2.922
 1.074  2.083  3.066
 1.491  2.085  2.953
 0.719  2.213  3.205
 0.734  1.728  3.076
 1.818  2.420  2.810
 2.052  1.670  2.885
 0.739  2.326  3.133
 1.980  1.610  3.205
 1.202  1.777  2.953
 1.387  2.073  3.219
 0.291  2.301  2.794
 1.923  1.902  3.243
 0.580  1.852  3.111
 1.252  2.435  3.026
 1.098  1.952  3.011
 2.179  2.313  3.222
 1.091  1.565  2.904
 0.966  1.735  3.048
 1.354  1.691  3.057
 1.428  2.197  3.217
 1.097  1.878  3.045
 0.887  2.075  3.148
 0.909  2.143  2.970
 1.435  1.989  2.764
 2.187  2.342  3.217
 0.588  2.755  2.964
 1.372  2.081  3.160
 0.581  1.617  2.986
 1.445  2.086  3.419
 1.077  1.768  3.148
 1.157  1.526  3.011
 1.574  2.107  3.407
 6.790  7.138  6.981
 7.213  6.984  7.040
 6.875  7.198  7.030
 6.967  7.428  6.595
 7.253  7.232  6.539
 7.602  6.545  7.703
 6.587  6.999  7.371
 6.971  6.824  6.987
 7.067  7.694  7.245
 6.831  7.492  7.212
 6.959  7.782  7.219
 7.595  7.579  6.946
 6.868  6.998  7.090
 7.698  6.950  7.167
 6.420  7.258  6.443
 7.053  6.924  7.595
 7.231  6.740  7.013
 7.213  7.250  6.771
 7.164  7.007  7.016
 6.952  6.653  6.917
 7.111  7.023  6.713
 6.486  7.189  6.455
 7.086  7.057  6.501
 6.690  7.425  7.006
 6.814  6.913  6.979
 7.089  6.549  6.402
 7.241  6.873  7.004
 7.092  6.527  7.184
 6.990  6.618  6.564
 6.904  6.581  6.759
 7.590  6.280  6.980
 6.181  7.135  6.711
 7.355  7.179  7.228
 7.682  6.883  6.820
 7.274  7.623  6.866
 6.779  7.284  6.938
 6.822  6.782  7.524
 6.904  7.353  6.576
 7.115  7.068  6.790
 6.808  7.166  7.142
 7.201  6.455  7.129
 7.290  6.987  7.053
 6.846  6.705  7.214
 6.805  6.948  6.957
 6.961  7.245  6.358
 6.427  6.641  6.988
 6.633  6.699  6.695
 6.655  7.147  7.078
 7.512  7.845  7.349
 6.828  6.579  7.213
 6.459  6.804  6.550
 6.751  7.371  8.059
 6.717  6.903  6.490
 6.444  6.965  7.254
 7.501  7.264  6.574
 6.790  7.944  7.412
 6.983  7.101  7.055
 7.434  6.524  6.668
 7.451  6.836  6.549
 7.408  6.760  6.679
 6.839  7.537  6.876
 7.247  7.062  6.952
 6.758  6.519  7.111
 6.822  7.499  7.748
 6.598  7.272  7.505
 6.938  7.781  7.105
 7.860  7.256  7.368
 7.132  7.350  6.904
 6.993  7.493  6.901
 7.579  7.141  6.130
 6.688  7.157  6.855
 7.414  6.836  6.370
 7.138  7.698  6.858
 7.421  6.351  6.745
 7.217  7.074  6.476
 6.511  7.524  6.843
 6.839  6.932  6.843
 6.866  7.014  6.980
 7.617  6.955  6.972
 7.166  6.791  7.165
 7.106  6.422  7.042
 6.496  6.865  7.347
 6.367  6.899  7.007
 6.075  7.456  7.169
 7.010  7.599  7.170
 7.117  7.203  7.173
 6.715  6.622  6.633
 7.081  6.895  7.218
 6.523  6.956  7.120
 7.018  7.403  6.999
 7.199  7.147  7.210
